,count,mean,std,min,25%,50%,75%,max,missing_pct
GHI,516349.0,223.85967475486535,317.306276777077,-12.7,-2.2,0.5,423.2,1198.0,0.0
DNI,516349.0,147.97593081423614,247.68369034949228,0.0,0.0,0.0,237.9,904.1,0.0
DHI,516349.0,112.78124853538985,151.57174350730165,0.0,0.0,1.5,211.6,586.0,0.0
ModA,516349.0,219.38075139101647,311.8548407578419,0.0,0.0,2.8,404.1,1171.2,0.0
ModB,516349.0,213.02815034017686,302.62580230037423,0.0,0.0,2.8,393.1,1143.0,0.0
Tamb,516349.0,27.727474053401863,4.757336806964384,14.9,24.2,27.2,31.0,41.4,0.0
RH,516349.0,55.182806783783846,28.698318448770813,3.3,26.8,59.4,81.0,99.8,0.0
WS,516349.0,2.312184975665683,1.377996816814285,0.0,1.4,2.2,3.2,6.7,0.0
WSgust,516349.0,3.1542474179285733,1.7621923587965551,0.0,1.9,2.9,4.1,8.8,0.0
WSstdev,516349.0,0.5480488971606413,0.25282428964110815,0.0,0.4,0.5,0.7,2.7,0.0
WD,516349.0,162.12932183465063,92.02870420274962,0.0,74.7,200.2,233.7,360.0,0.0
WDstdev,516349.0,10.491498773116637,5.9150560060362505,0.0,6.8,10.7,14.0,86.9,0.0
BP,516349.0,975.8939186480462,2.147358082451498,968.0,975.0,976.0,977.0,983.0,0.0
Cleaning,516349.0,0.0005287121694822688,0.022987684884045134,0.0,0.0,0.0,0.0,1.0,0.0
Precipitation,516349.0,0.0009516819050680837,0.01862063549324069,0.0,0.0,0.0,0.0,1.8,0.0
TModA,516349.0,32.31231279619018,10.957089695351232,13.1,23.8,28.2,40.3,70.4,0.0
TModB,516349.0,33.378511626826054,12.718462224205373,13.1,23.6,28.2,42.6,94.6,0.0
Comments,0.0,,,,,,,,100.0
